team,short_range_fgm,short_range_fga,short_range_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,long_range_fgm,long_range_fga,long_range_fg_pct,three_range_fgm,three_range_fga,three_range_fg_pct,season
LA Clippers,21.2,34.7,61.2,6.3,13.4,46.9,2.2,5.4,40.3,12.6,33,38.2,2023
Los Angeles Lakers,24.6,38.8,63.4,5.2,11.7,44.3,2.1,5.7,36.7,11.8,31.1,37.9,2023
Memphis Grizzlies,19.9,36.8,54.2,4.1,10.1,40.6,1.3,3.5,36,13.1,37.5,34.8,2023
Miami Heat,19.7,33.9,58.2,5.8,13.5,43.4,1.8,4.6,39.3,12.5,33.5,37.2,2023
Milwaukee Bucks,21.1,32.9,64,5,11.1,44.8,2.9,6.4,45.5,14.2,38,37.4,2023
Minnesota Timberwolves,22.3,36.8,60.5,4.8,11.5,41.9,1.5,4.1,37.6,12.6,32.5,38.9,2023
New Orleans Pelicans,22.6,38,59.4,5.3,11.9,44.7,2.1,4.9,43.4,12.5,32.3,38.6,2023
New York Knicks,20.1,34.7,58,6.4,14,45.3,1.6,4.1,38.6,13.2,35.7,36.9,2023
Oklahoma City Thunder,22.2,36.3,61.3,6.9,13.8,49.8,2.2,5.1,42.4,13.3,34.1,38.9,2023
Orlando Magic,23.5,38.8,60.7,4.3,10.6,40.7,1.6,4.2,37.5,11,31.1,35.4,2023
Philadelphia 76ers,21.6,37.8,57.1,5.5,12.7,43.1,2.4,5.6,42,12.1,33.2,36.4,2023
Phoenix Suns,19.4,31.6,61.3,7.4,15,49.1,3.3,6.9,47.3,12.4,32.5,38.2,2023
Portland Trail Blazers,20.6,38.5,53.4,4.8,12,40.2,2.5,6,41.7,11.5,33,34.7,2023
Sacramento Kings,21.8,35.1,62.1,5.5,12.2,45.1,1.7,4.4,38.1,14.4,39.2,36.7,2023
San Antonio Spurs,23.1,38.1,60.6,4.7,11.6,40.2,1.6,4.6,33.9,12.6,36.2,34.9,2023
Toronto Raptors,24.4,40.8,59.8,4.5,11,40.7,1.9,4.9,39.5,11.5,33,34.9,2023
Utah Jazz,23.4,39.5,59.2,4.6,10.9,41.9,1.1,2.9,36.9,12.9,36.3,35.7,2023
Washington Wizards,24.5,40.4,60.5,4.7,11.6,40.1,1.5,3.8,38.5,12.4,35.3,35,2023
Atlanta Hawks,22.3,36.9,60.4,7.8,16.4,47.7,3.8,8.5,43.9,10.7,30.4,35.4,2022
Boston Celtics,20.6,33.4,61.9,3.9,8.6,45.1,1.7,4.3,39.5,16,42.4,37.8,2022
Brooklyn Nets,18.4,30.6,60.2,6.8,13.8,49.6,3.4,6.9,49.6,12.8,33.7,37.9,2022
Charlotte Hornets,23.5,41,57.4,5,11.6,42.9,2,5.3,38.3,10.7,32.4,33.2,2022
Chicago Bulls,21.6,34.6,62.4,5.8,12.6,45.9,4.8,10.8,44.4,10.4,28.8,36.1,2022
Cleveland Cavaliers,22.6,36.6,61.7,5.6,12.3,45.8,1.8,4.7,37.6,11.6,31.4,36.9,2022
